dropout,noise,lr,batch_size,temperature,loss,val_loss,res,clusters,NMI final,ARI final,CA final,val_NMI final,val_ARI final,val_CA final,final_loss,final_val_loss
0.9,0,0.01,128,0.07,"[220.52358484268188, 196.19603610038757, 187.32183837890625, 179.9274513721466, 176.0423662662506, 172.16497707366943, 167.67161989212036, 164.93753862380981, 161.91144824028015, 159.4579348564148, 157.76643180847168, 156.94314312934875, 153.3876051902771, 151.92751622200012, 150.05084133148193, 147.39990854263306, 147.63313269615173, 144.54509377479553, 145.30206036567688, 144.18729376792908, 142.6719946861267, 142.2746353149414, 141.65365719795227, 141.01187562942505, 139.8495135307312, 140.32080459594727, 139.4601571559906, 138.50533866882324, 139.99739003181458]","[44.219491481781006, 42.50602114200592, 40.87658143043518, 38.5120333135128, 39.13796401023865, 36.550371289253235, 36.757370352745056, 36.11458393186331, 35.729092836380005, 35.62675714492798, 34.95669335126877, 33.957213297486305, 34.904993176460266, 33.5467044711113, 34.93451189994812, 33.86245810985565, 32.894294309429824, 32.091551339719445, 32.32470206916332, 31.99194584041834, 32.206940710544586, 31.781094506382942, 32.17252318561077, 32.2053656578064, 31.283178770449013, 32.04093211889267, 31.43332801759243, 31.69513137638569, 31.445895398035645]",0.05,7,0.89963,0.94074,0.89997,0.86819,0.91659,0.89339,139.99739003181458,31.445895398035645
0.9,0,0.004,32,0.07,"[601.0799371004105, 510.12407183647156, 470.25577676296234, 445.469122171402, 429.9543504714966, 417.85028487443924, 398.7948668003082, 390.26305693387985, 385.94938600063324, 376.73884081840515, 369.1991326212883, 363.65041863918304, 356.50792706012726, 351.12833309173584, 348.4928748011589, 340.9326487183571, 332.6877818107605, 327.0698010921478, 327.68743896484375, 318.1690192222595, 323.2923172712326, 314.89107900857925, 318.4043515920639, 313.80848532915115, 310.6909347772598, 317.0957528054714]","[115.59290099143982, 102.99957847595215, 100.91378688812256, 96.8733089864254, 92.53568053245544, 87.67373141646385, 86.80578583478928, 85.39599831774831, 84.39972734451294, 84.04720842838287, 84.63234490156174, 79.79294157028198, 79.38964772224426, 80.93987889587879, 74.9794987924397, 75.82354924082756, 74.57060432434082, 76.84194946289062, 73.43992531299591, 71.9637708067894, 71.35595769807696, 70.00427095871419, 70.37058279663324, 74.4212995171547, 73.62907592952251, 73.82473060488701]",0.06,7,0.89545,0.93737,0.89963,0.85258,0.90745,0.88638,317.0957528054714,73.82473060488701
0.9,0,0.1,512,0.07,"[78.69625616073608, 72.29005908966064, 70.35268592834473, 68.29301929473877, 67.46707248687744, 66.28630256652832, 65.56826114654541, 64.54283046722412, 64.12597608566284, 63.83649253845215, 63.393375873565674, 62.57603979110718, 62.31725072860718, 61.62877321243286, 61.435505390167236, 60.891746044158936, 60.2786750793457, 60.2890100479126, 59.596989154815674, 59.46306657791138, 59.06517934799194, 59.12267208099365, 58.71433734893799, 58.62124538421631, 58.613468170166016]","[17.76320791244507, 17.314209461212158, 16.736536026000977, 16.303550720214844, 16.10385799407959, 15.845767974853516, 15.808127880096436, 15.48691701889038, 15.52479600906372, 15.493879318237305, 15.252876281738281, 15.142895698547363, 15.081894397735596, 14.852727890014648, 14.938630104064941, 14.743072032928467, 14.586769104003906, 14.469199180603027, 14.568028926849365, 14.440862655639648, 14.257800579071045, 14.315084457397461, 14.311273097991943, 14.335307121276855, 14.41684865951538]",0.06,6,0.86877,0.91977,0.88446,0.84025,0.89504,0.87471,58.613468170166016,14.41684865951538
0.9,0,1.0,512,0.07,"[84.34394884109497, 81.32019996643066, 78.48141527175903, 76.454430103302, 75.50824546813965, 74.53833866119385, 73.80338525772095, 72.98712301254272, 72.26341581344604, 71.6739330291748, 71.14713382720947, 70.38272523880005, 69.38332605361938, 68.33283853530884, 67.69734621047974, 66.92226266860962, 66.68759298324585, 66.32545566558838, 65.97776985168457, 65.81477975845337, 65.68859052658081, 65.34350776672363, 65.48442697525024, 65.19981861114502, 65.55217599868774, 65.21046304702759, 65.16361951828003, 65.26400184631348, 64.98479747772217, 65.07202863693237, 65.34595108032227]","[19.943953037261963, 19.422954082489014, 18.661540985107422, 18.3916654586792, 18.15900945663452, 17.977734565734863, 17.71231460571289, 17.51815128326416, 17.39965581893921, 17.24039125442505, 17.064192295074463, 16.849968910217285, 16.640594005584717, 16.430586338043213, 16.226359844207764, 16.090641975402832, 15.92114543914795, 16.046390533447266, 15.929497241973877, 16.019229412078857, 15.855716705322266, 15.828096389770508, 15.787559986114502, 15.792359352111816, 15.694613456726074, 15.77463960647583, 15.676959037780762, 15.796499729156494, 15.842346668243408, 15.780729293823242, 15.8691086769104]",0.09,6,0.82603,0.86293,0.87079,0.80608,0.85246,0.86304,65.34595108032227,15.8691086769104
0.9,0,0.01,32,0.07,"[590.4243133068085, 509.99544072151184, 475.23696863651276, 448.72623431682587, 430.2235245704651, 423.6602483987808, 408.731027841568, 399.8222631216049, 389.50413340330124, 387.76369762420654, 376.32774019241333, 374.30680298805237, 363.8105483055115, 349.4278188943863, 355.56722992658615, 343.31135576963425, 345.3341461420059, 335.2520272731781, 333.9180511236191, 324.97903364896774, 327.5324794650078, 327.5658469200134, 322.4132343530655, 319.7718918323517, 320.6626753807068, 322.41949743032455, 319.4653984308243]","[114.63860005140305, 106.81431186199188, 99.66501807048917, 99.47763550281525, 92.63878637552261, 91.55571823194623, 90.62808579206467, 85.34473693370819, 86.47931987047195, 84.22581732273102, 80.4937754496932, 81.61209654808044, 80.60609370470047, 79.55504278838634, 79.76033582538366, 78.72603892092593, 80.18247389793396, 74.67212998867035, 77.10502123832703, 74.48697730340064, 77.75312203168869, 74.52688789367676, 70.58370738103986, 71.2477006316185, 73.23522588610649, 70.92472140491009, 73.40722386538982]",0.09,8,0.89919,0.93885,0.91864,0.84636,0.89008,0.89883,319.4653984308243,73.40722386538982
0.9,0,0.4,256,0.07,"[143.3575882911682, 130.58175802230835, 126.82914686203003, 121.82301950454712, 118.7324743270874, 115.53821229934692, 113.09615635871887, 111.01913022994995, 110.03088212013245, 107.86888098716736, 106.9367139339447, 106.14484810829163, 105.35647225379944, 103.88949966430664, 103.19216394424438, 102.53554558753967, 101.64333128929138, 101.28587913513184, 100.580730676651, 100.25396966934204, 99.77518343925476, 100.09513998031616, 99.0438129901886, 98.81996703147888, 99.24126863479614, 98.96821594238281, 98.85661935806274]","[29.085459411144257, 27.91292142868042, 28.372323036193848, 26.305804014205933, 25.288487553596497, 25.18909204006195, 24.10295969247818, 24.17351496219635, 27.66956853866577, 22.882159933447838, 23.240501880645752, 22.304222375154495, 22.21957684168592, 24.324134349822998, 22.51924830675125, 21.93811932206154, 21.591789677739143, 22.394104719161987, 21.86739480495453, 21.184339553117752, 21.253832682967186, 22.52668046951294, 20.796097099781036, 21.184971624985337, 21.764583230018616, 24.794278383255005, 21.436828136444092]",0.08,7,0.88695,0.93307,0.89647,0.82177,0.86888,0.87471,98.85661935806274,21.436828136444092
0.9,0,0.001,32,0.07,"[698.6309747695923, 548.1911455392838, 504.33779990673065, 473.89501774311066, 460.09667468070984, 441.63983845710754, 424.78929793834686, 411.80367839336395, 403.4928605556488, 391.3392496109009, 387.72225749492645, 377.39478439092636, 372.18582940101624, 366.4670683145523, 355.53174620866776, 356.39815628528595, 344.0302566289902, 344.20380383729935, 338.33066391944885, 342.8842960000038, 336.10817670822144, 329.4106533527374, 328.4187023639679]","[128.2604095339775, 115.5683822631836, 106.05177345871925, 101.83816349506378, 96.9036460518837, 96.10720485448837, 90.41991701722145, 92.31368732452393, 87.36612549424171, 83.21421480178833, 87.91691565513611, 82.21846735477448, 81.07439687103033, 80.45229275524616, 79.84426037967205, 79.37225300073624, 78.22631251811981, 78.78756479918957, 74.82913239300251, 76.13392063975334, 79.05389106273651, 76.90765961445868, 76.84348505735397]",0.06,7,0.87739,0.92078,0.9033,0.86249,0.9125,0.90739,328.4187023639679,76.84348505735397
0.9,0,0.1,32,0.07,"[630.5171637535095, 547.2724578380585, 518.7726316452026, 484.60373318195343, 467.96688401699066, 463.4455177783966, 445.7832019329071, 433.754207611084, 424.4001189470291, 420.08208805322647, 409.8308206796646, 404.4785645008087, 398.38888335227966, 386.7246527671814, 388.8168897628784, 381.589262843132, 375.379269361496, 371.275634765625, 366.1238414645195, 363.3549599647522, 355.9965469837189, 347.3138719201088, 354.1850997209549, 349.83918261528015, 350.03422820568085, 351.79388481378555, 344.71418702602386, 345.346687912941]","[124.09288334846497, 112.04780381917953, 105.87113898992538, 103.94559401273727, 98.57579410076141, 98.39676833152771, 95.97637939453125, 92.98456966876984, 91.65927226096392, 92.02300029993057, 91.20979809761047, 89.361252784729, 87.86004485189915, 86.00928847491741, 83.18519696034491, 84.98884768784046, 81.78511971235275, 82.29234290122986, 79.4457840025425, 79.36017620563507, 79.24984163045883, 77.61807408183813, 76.72037704661489, 73.36842131614685, 79.82434648275375, 79.34977066516876, 77.87860285677016, 78.66429152339697]",0.05,6,0.8699,0.91639,0.87713,0.85046,0.90356,0.8786,345.346687912941,78.66429152339697
0.9,0,0.4,128,0.07,"[232.49951934814453, 213.49618673324585, 201.19245433807373, 194.51426029205322, 189.22625136375427, 184.42585158348083, 181.39531445503235, 179.05286502838135, 176.2261905670166, 174.0277066230774, 172.3135631084442, 171.72221183776855, 167.43876314163208, 167.54225611686707, 165.05431866645813, 164.4336133003235, 162.20958733558655, 160.2939577102661, 158.5714511871338, 158.006920337677, 157.1267499923706, 155.89284205436707, 154.9665882587433, 155.91978883743286, 155.3856542110443, 153.66401839256287, 154.66144227981567, 154.5302450656891, 154.2493007183075]","[47.71593976020813, 45.644888401031494, 42.87704801559448, 42.109761476516724, 40.61791831254959, 39.93986237049103, 39.799563348293304, 38.72267031669617, 39.450236558914185, 37.60684195160866, 37.06266050413251, 37.364742547273636, 36.540562665089965, 36.79884433746338, 35.88537213206291, 39.38784050941467, 35.35809050500393, 34.93701234459877, 36.84095859527588, 34.54913529148325, 35.497233390808105, 34.29667737521231, 35.857165575027466, 34.08918423950672, 33.394119404256344, 34.419694632291794, 33.434046883136034, 34.126818269491196, 34.01781124994159]",0.05,7,0.88479,0.9286,0.90814,0.85182,0.90035,0.89961,154.2493007183075,34.01781124994159
0.9,0,0.4,256,0.07,"[142.1832594871521, 129.61621141433716, 126.63958692550659, 123.15405607223511, 118.38241529464722, 114.83859300613403, 112.80248165130615, 112.01455307006836, 110.12930583953857, 108.20570755004883, 107.3106439113617, 105.51629543304443, 104.92522358894348, 103.83207678794861, 103.26930499076843, 103.1446533203125, 101.90637731552124, 101.21546649932861, 100.49774527549744, 100.27420163154602, 99.63917827606201, 99.61073565483093, 98.55137872695923, 98.22758603096008, 98.58272576332092, 98.63836908340454, 98.6344645023346, 98.4367344379425, 98.41120457649231]","[29.869413375854492, 27.887498140335083, 27.779847860336304, 26.332960844039917, 25.6823570728302, 25.453595638275146, 26.408937692642212, 23.559780314564705, 23.590058863162994, 23.10026517510414, 22.952135741710663, 22.39551968127489, 22.18996800109744, 23.667359232902527, 22.436623334884644, 21.664968639612198, 22.396451830863953, 21.580092072486877, 21.836189448833466, 21.69887614250183, 22.07929438352585, 21.272136375308037, 22.187881648540497, 21.36195796728134, 20.974604457616806, 21.664434790611267, 21.452908724546432, 21.99252164363861, 21.8775315284729]",0.08,6,0.84927,0.87403,0.87429,0.82342,0.86157,0.87237,98.41120457649231,21.8775315284729
