res,clusters,weight,NMI,ARI,CA,val_NMI,val_ARI,val_CA,loss,val_loss,clustering_loss,val_clustering_loss,zinb_loss,val_zinb_loss,kmeans_loss,val_kmeans_loss,CA_initial,ARI_initial,NMI_initial,val_CA_initial,val_ARI_initial,val_NMI_initial,training_time,nbr_iteration,CA_final,ARI_final,NMI_final,val_CA_final,val_ARI_final,val_NMI_final
auto,14,1.0,"[0.76805, 0.77206, 0.78077, 0.7768, 0.77663, 0.77641, 0.7761, 0.77732, 0.77626, 0.77626, 0.77627]","[0.53646, 0.5432, 0.57217, 0.55921, 0.55481, 0.5533, 0.55252, 0.55589, 0.55265, 0.55268, 0.55271]","[0.57899, 0.59285, 0.6353, 0.61736, 0.61444, 0.60846, 0.60394, 0.61152, 0.60481, 0.60584, 0.60569]","[0.76055, 0.7677, 0.78201, 0.7713, 0.7743, 0.76843, 0.77127, 0.77712, 0.77545, 0.77531, 0.77567]","[0.52682, 0.53673, 0.57392, 0.54684, 0.55225, 0.542, 0.53873, 0.55036, 0.54527, 0.5449, 0.54387]","[0.57935, 0.60443, 0.65519, 0.61844, 0.62835, 0.61027, 0.59393, 0.6161, 0.60443, 0.60735, 0.60327]","[286597.28125, 44200.87890625, 26185.251953125, 18597.376953125, 14688.0947265625, 11092.0458984375, 9268.724609375, 7741.04736328125, 6185.00634765625, 5184.9345703125, 4438.2880859375]","[223317.53125, 56771.5703125, 44592.82421875, 40401.4765625, 37095.578125, 35335.88671875, 33528.72265625, 32132.392578125, 31042.69140625, 29829.00390625, 29048.0390625]","[0.28553053736686707, 0.2973729372024536, 0.2769826352596283, 0.26619356870651245, 0.26024380326271057, 0.24866387248039246, 0.24029935896396637, 0.23125332593917847, 0.22240106761455536, 0.2143382430076599, 0.20721878111362457]","[0.2925117611885071, 0.2842479646205902, 0.26130715012550354, 0.2535363435745239, 0.24888896942138672, 0.2412816435098648, 0.23661352694034576, 0.23169659078121185, 0.22770312428474426, 0.22500815987586975, 0.2222825437784195]","[286586.9375, 44252.76953125, 26187.0078125, 18591.8203125, 14814.1708984375, 11089.400390625, 9269.8271484375, 7737.033203125, 6182.6162109375, 5184.16455078125, 4437.57421875]","[224086.796875, 56761.21875, 44645.6953125, 40460.3671875, 37255.84375, 35428.0703125, 33627.2890625, 32222.49609375, 31120.576171875, 29881.603515625, 29070.43359375]","[0.4811691641807556, 0.4922061860561371, 0.4932437837123871, 0.494178831577301, 0.4947878122329712, 0.4952660799026489, 0.4957905411720276, 0.4968104958534241, 0.497588187456131, 0.4978718161582947, 0.4988086521625519]","[0.5034616589546204, 0.5063767433166504, 0.5061114430427551, 0.50644451379776, 0.5069300532341003, 0.5069187879562378, 0.5072144269943237, 0.5079337954521179, 0.5085493922233582, 0.5084656476974487, 0.5094985365867615]",0.57899,0.53646,0.76805,0.57935,0.52682,0.76055,656,270,0.60569,0.55271,0.77627,0.60327,0.54387,0.77567
auto,6,1.0,"[0.86422, 0.86846, 0.87168, 0.87245]","[0.9149, 0.919, 0.92211, 0.92286]","[0.88461, 0.88403, 0.88549, 0.88592]","[0.84887, 0.85527, 0.8554, 0.86184]","[0.89637, 0.90216, 0.90253, 0.90923]","[0.87573, 0.8769, 0.8769, 0.8804]","[576773.5, 42168.19921875, 17525.185546875, 10770.244140625]","[457122.1875, 48819.83203125, 31496.79296875, 27227.591796875]","[0.1723591834306717, 0.1676321178674698, 0.1354009360074997, 0.11795343458652496]","[0.17690475285053253, 0.1630997359752655, 0.1339268982410431, 0.12030880898237228]","[576315.25, 42188.56640625, 17513.404296875, 10754.7373046875]","[457254.46875, 48767.75390625, 31429.37890625, 27237.65234375]","[0.4811691641807556, 0.49714207649230957, 0.5003510117530823, 0.5019234418869019]","[0.5034616589546204, 0.5084559917449951, 0.5094084739685059, 0.5103405714035034]",0.88461,0.9149,0.86422,0.87573,0.89637,0.84887,344,81,0.88592,0.92286,0.87245,0.8804,0.90923,0.86184
0.08,7,1.0,"[0.87246, 0.87767, 0.88042, 0.87808, 0.87867, 0.87867]","[0.91875, 0.92047, 0.92406, 0.92005, 0.9221, 0.9221]","[0.88855, 0.88811, 0.88972, 0.88651, 0.88796, 0.88796]","[0.85504, 0.86524, 0.87386, 0.86696, 0.87029, 0.87272]","[0.89956, 0.90211, 0.91397, 0.90596, 0.91083, 0.91309]","[0.87981, 0.88098, 0.88623, 0.88098, 0.88331, 0.88448]","[523968.0, 47187.93359375, 20383.77734375, 16551.431640625, 9852.7021484375, 7176.8671875]","[412165.9375, 53659.59765625, 34231.91015625, 31292.7578125, 25138.587890625, 23648.109375]","[0.1778654158115387, 0.1825527548789978, 0.15209795534610748, 0.1421339362859726, 0.12245015054941177, 0.11195945739746094]","[0.18331244587898254, 0.1773689240217209, 0.1497691422700882, 0.14303506910800934, 0.12685124576091766, 0.1199265718460083]","[523922.21875, 47219.2421875, 20374.892578125, 16536.541015625, 9842.8447265625, 7166.74951171875]","[412092.21875, 53579.86328125, 34157.43359375, 31213.861328125, 25069.220703125, 23590.5625]","[0.4811691641807556, 0.4957695007324219, 0.49861761927604675, 0.5012776851654053, 0.5018739104270935, 0.5026713609695435]","[0.5034616589546204, 0.5081443190574646, 0.5089243650436401, 0.5107166171073914, 0.510773777961731, 0.5111498236656189]",0.88855,0.91875,0.87246,0.87981,0.89956,0.85504,426,135,0.88796,0.9221,0.87867,0.88448,0.91309,0.87272
auto,14,1.0,"[0.74719, 0.75605, 0.75816, 0.75759, 0.76018, 0.75838, 0.75869, 0.75821, 0.75856, 0.75848]","[0.51674, 0.52158, 0.52663, 0.52503, 0.53294, 0.52758, 0.5287, 0.52677, 0.52814, 0.52784]","[0.53931, 0.54836, 0.55332, 0.5539, 0.55463, 0.55055, 0.55171, 0.54821, 0.55055, 0.55011]","[0.74785, 0.76171, 0.76495, 0.76046, 0.76263, 0.76304, 0.76339, 0.76224, 0.76265, 0.76242]","[0.51217, 0.51748, 0.52942, 0.52021, 0.52716, 0.52249, 0.52413, 0.52005, 0.52187, 0.52095]","[0.54434, 0.55718, 0.57585, 0.55718, 0.56593, 0.55426, 0.55659, 0.55368, 0.55076, 0.55076]","[278.5469665527344, 54.229644775390625, 30.711490631103516, 20.905107498168945, 16.399967193603516, 12.04120922088623, 9.542306900024414, 8.016826629638672, 6.566282749176025, 5.590640544891357]","[212.06471252441406, 63.607181549072266, 47.79476547241211, 41.93015670776367, 37.83700942993164, 34.81753158569336, 32.16297912597656, 31.16880226135254, 29.767047882080078, 28.895734786987305]","[0.28054800629615784, 0.2993255853652954, 0.29186397790908813, 0.27688896656036377, 0.26595017313957214, 0.25222355127334595, 0.24294155836105347, 0.23381450772285461, 0.22446754574775696, 0.21667039394378662]","[0.287699431180954, 0.2873389422893524, 0.27665975689888, 0.2624780833721161, 0.2548042833805084, 0.24481718242168427, 0.23878280818462372, 0.234920933842659, 0.23014460504055023, 0.22684010863304138]","[278318.5, 54009.0703125, 30441.595703125, 20629.392578125, 16132.2958984375, 11783.21484375, 9293.7705078125, 7779.17919921875, 6338.30712890625, 5371.00830078125]","[211895.34375, 63273.18359375, 47475.6015625, 41677.625, 37608.21875, 34621.23828125, 31971.5, 30964.814453125, 29549.767578125, 28669.146484375]","[0.4811691641807556, 0.4911957383155823, 0.4935220181941986, 0.49503377079963684, 0.49673140048980713, 0.49728596210479736, 0.4979817867279053, 0.4987994432449341, 0.49934762716293335, 0.5000937581062317]","[0.5034616589546204, 0.5065701007843018, 0.506900429725647, 0.5073273181915283, 0.5082019567489624, 0.5081879496574402, 0.508269727230072, 0.5086254477500916, 0.5086788535118103, 0.509081244468689]",0.53931,0.51674,0.74719,0.54434,0.51217,0.74785,630,243,0.55011,0.52784,0.75848,0.55076,0.52095,0.76242
