clusters,weight,NMI,ARI,CA,loss,clustering_loss,zinb_loss,CA_initial,ARI_initial,NMI_initial,training_time,nbr_iteration,CA_final,ARI_final,NMI_final
8,1,"[0.79584, 0.79679, 0.79568, 0.7926, 0.78837, 0.78165, 0.78032, 0.78177, 0.78106, 0.77887, 0.77825, 0.77739, 0.77822, 0.77781]","[0.81302, 0.80234, 0.79737, 0.78502, 0.76823, 0.75545, 0.75254, 0.75727, 0.75268, 0.75049, 0.7495, 0.74889, 0.74958, 0.74888]","[0.83657, 0.83821, 0.83891, 0.83587, 0.82908, 0.8244, 0.82323, 0.82557, 0.82323, 0.82206, 0.82159, 0.82135, 0.82135, 0.82112]","[0.37215057015419006, 0.4033277630805969, 0.39499661326408386, 0.3691740334033966, 0.36939287185668945, 0.3718309700489044, 0.37966087460517883, 0.41030749678611755, 0.38057589530944824, 0.35423794388771057, 0.3804844319820404, 0.32899194955825806, 0.35884222388267517, 0.3348061442375183]","[0.1844128668308258, 0.20164763927459717, 0.1822555959224701, 0.14950697124004364, 0.14337530732154846, 0.13952139019966125, 0.14501440525054932, 0.17241133749485016, 0.1434410959482193, 0.11863868683576584, 0.14547938108444214, 0.09221424162387848, 0.12503588199615479, 0.10094258934259415]","[0.1875867396593094, 0.20163096487522125, 0.21262457966804504, 0.219504252076149, 0.22551508247852325, 0.23178555071353912, 0.2339816838502884, 0.23723509907722473, 0.23702526092529297, 0.2353135347366333, 0.23420536518096924, 0.2366715669631958, 0.2339828908443451, 0.23298318684101105]",0.83657,0.81302,0.79584,12600,221,0.82112,0.74888,0.77781
8,1,"[0.75791, 0.76811, 0.77128, 0.7702, 0.7666, 0.7636, 0.76455, 0.7657, 0.76452, 0.76304, 0.76201, 0.76304, 0.76383, 0.76333, 0.76293]","[0.74185, 0.74484, 0.73809, 0.72839, 0.71605, 0.71144, 0.71147, 0.71416, 0.71149, 0.71, 0.70868, 0.7095, 0.71017, 0.70987, 0.70882]","[0.77242, 0.77242, 0.76914, 0.7675, 0.76516, 0.76493, 0.76727, 0.76797, 0.76867, 0.7682, 0.7675, 0.76727, 0.76774, 0.7682, 0.76797]","[0.3693484365940094, 0.4039756655693054, 0.3969953954219818, 0.3809446394443512, 0.3820360600948334, 0.3839752674102783, 0.37332719564437866, 0.4058935046195984, 0.3585437536239624, 0.330487459897995, 0.3549696207046509, 0.34741246700286865, 0.3993944525718689, 0.35326507687568665, 0.3453342914581299]","[0.1807020902633667, 0.2025582641363144, 0.18614187836647034, 0.1626562625169754, 0.1582614630460739, 0.1542198359966278, 0.1434551626443863, 0.17305432260036469, 0.1253308653831482, 0.09845639020204544, 0.12241088598966599, 0.11248860508203506, 0.16345974802970886, 0.11952105909585953, 0.11316246539354324]","[0.18842415511608124, 0.20134103298187256, 0.21089565753936768, 0.21826016902923584, 0.22358310222625732, 0.22880204021930695, 0.22976818680763245, 0.2327408641576767, 0.23262734711170197, 0.23217441141605377, 0.23160631954669952, 0.23443154990673065, 0.23503443598747253, 0.23343324661254883, 0.2323053479194641]",0.77242,0.74185,0.75791,13063,238,0.76797,0.70882,0.76293
8,1,"[0.77365, 0.77826, 0.77672, 0.77568, 0.76911, 0.76593, 0.76232, 0.76564, 0.76196, 0.76008, 0.76167, 0.76216, 0.76036, 0.76003]","[0.7729, 0.77286, 0.76533, 0.76019, 0.73949, 0.73422, 0.72675, 0.73138, 0.72641, 0.72481, 0.7258, 0.7247, 0.72383, 0.72383]","[0.83657, 0.84196, 0.84032, 0.83915, 0.82861, 0.82557, 0.82159, 0.82416, 0.82135, 0.82042, 0.82159, 0.82065, 0.82018, 0.82018]","[0.3650912344455719, 0.40263831615448, 0.40288734436035156, 0.3836320638656616, 0.37704169750213623, 0.38147881627082825, 0.3691212832927704, 0.4035850167274475, 0.37888288497924805, 0.36597880721092224, 0.37052351236343384, 0.3740074932575226, 0.3295222520828247, 0.37632858753204346]","[0.17753659188747406, 0.20204295217990875, 0.19235245883464813, 0.16590876877307892, 0.1553044617176056, 0.14898769557476044, 0.13909956812858582, 0.166935995221138, 0.14024172723293304, 0.1299082189798355, 0.13274306058883667, 0.13591015338897705, 0.09241293370723724, 0.14228555560112]","[0.1873602569103241, 0.20044034719467163, 0.21042326092720032, 0.21767164766788483, 0.2214450091123581, 0.23176300525665283, 0.22986215353012085, 0.23587973415851593, 0.23800423741340637, 0.23608267307281494, 0.23733364045619965, 0.2373526245355606, 0.23729941248893738, 0.2337155044078827]",0.83657,0.7729,0.77365,12924,221,0.82018,0.72383,0.76003
8,1,"[0.77168, 0.78454, 0.7879, 0.78399, 0.77723, 0.77534, 0.76937, 0.76908, 0.77026, 0.77143, 0.77128]","[0.78822, 0.79736, 0.79265, 0.77852, 0.76564, 0.75592, 0.74451, 0.74406, 0.7442, 0.74273, 0.74264]","[0.82861, 0.84008, 0.83985, 0.83493, 0.83002, 0.82604, 0.82112, 0.81948, 0.81995, 0.81971, 0.81971]","[0.3661642074584961, 0.3970547020435333, 0.3951131999492645, 0.37778472900390625, 0.3592381775379181, 0.3571714758872986, 0.3644581437110901, 0.34851568937301636, 0.3797644078731537, 0.3972349762916565, 0.37111133337020874]","[0.17851804196834564, 0.19689235091209412, 0.18611453473567963, 0.1613917499780655, 0.13617195188999176, 0.1283751279115677, 0.13312135636806488, 0.11676561087369919, 0.14516018331050873, 0.16424788534641266, 0.13735388219356537]","[0.18755319714546204, 0.20002350211143494, 0.20880579948425293, 0.2161441296339035, 0.22267115116119385, 0.22812876105308533, 0.2308170199394226, 0.23148012161254883, 0.2338137924671173, 0.2323581576347351, 0.2337852567434311]",0.82861,0.78822,0.77168,12526,170,0.81971,0.74264,0.77128
