res,clusters,weight,NMI,ARI,CA,val_NMI,val_ARI,val_CA,loss,val_loss,clustering_loss,val_clustering_loss,zinb_loss,val_zinb_loss,CA_initial,ARI_initial,NMI_initial,val_CA_initial,val_ARI_initial,val_NMI_initial,training_time,nbr_iteration,CA_final,ARI_final,NMI_final,val_CA_final,val_ARI_final,val_NMI_final
auto,8,1,"[0.7762, 0.78363, 0.78577, 0.78841, 0.78725, 0.78741, 0.7881, 0.7885, 0.78872]","[0.62822, 0.63191, 0.63165, 0.63227, 0.63153, 0.63151, 0.6316, 0.63186, 0.63189]","[0.63151, 0.63005, 0.6283, 0.62728, 0.62757, 0.62743, 0.62743, 0.62728, 0.62743]","[0.75914, 0.77816, 0.78583, 0.79025, 0.79021, 0.786, 0.78721, 0.78942, 0.78579]","[0.61256, 0.62674, 0.632, 0.63244, 0.63803, 0.63398, 0.63102, 0.63214, 0.63039]","[0.63011, 0.63827, 0.64644, 0.64294, 0.65111, 0.64702, 0.64119, 0.63769, 0.64002]","[0.5335426330566406, 0.5043203234672546, 0.4749928116798401, 0.4786200225353241, 0.4479871392250061, 0.4762958884239197, 0.49761441349983215, 0.5097219944000244, 0.431331604719162]","[0.551874577999115, 0.5141459703445435, 0.486429899930954, 0.4917841851711273, 0.48009178042411804, 0.5098068118095398, 0.5201736688613892, 0.5049039721488953, 0.48858264088630676]","[0.2163621336221695, 0.1774815171957016, 0.14010924100875854, 0.14019601047039032, 0.11097835749387741, 0.1380079835653305, 0.1557442992925644, 0.17128883302211761, 0.08865705877542496]","[0.22062799334526062, 0.18062177300453186, 0.14885278046131134, 0.15337206423282623, 0.14195851981639862, 0.17173364758491516, 0.17714549601078033, 0.16615645587444305, 0.14748843014240265]","[0.3171835243701935, 0.3269178867340088, 0.3348087668418884, 0.3385673761367798, 0.3371315598487854, 0.3381973206996918, 0.3416873812675476, 0.3384069800376892, 0.3431600332260132]","[0.3312709331512451, 0.3335322439670563, 0.33733224868774414, 0.3387041687965393, 0.33810901641845703, 0.3379549980163574, 0.34290504455566406, 0.33870893716812134, 0.34094807505607605]",0.63151,0.62822,0.7762,0.63011,0.61256,0.75914,3393,216,0.62743,0.63189,0.78872,0.64002,0.63039,0.78579
auto,8,1,"[0.71731, 0.72261, 0.72638, 0.72845, 0.72794, 0.72941, 0.72863, 0.72839, 0.72841]","[0.55599, 0.55395, 0.5572, 0.55676, 0.55761, 0.558, 0.55807, 0.55821, 0.55827]","[0.61882, 0.61488, 0.61707, 0.61707, 0.61794, 0.61838, 0.61853, 0.61823, 0.61838]","[0.70251, 0.71084, 0.73002, 0.73313, 0.73474, 0.73158, 0.7277, 0.72919, 0.73289]","[0.53992, 0.54248, 0.55813, 0.55298, 0.5689, 0.55635, 0.54489, 0.55341, 0.56168]","[0.6056, 0.60677, 0.62252, 0.61785, 0.63711, 0.62252, 0.61027, 0.61669, 0.62427]","[0.5196243524551392, 0.4905182719230652, 0.46544891595840454, 0.45341116189956665, 0.47517675161361694, 0.46619299054145813, 0.4882761836051941, 0.4822494685649872, 0.45493075251579285]","[0.5342519879341125, 0.49984490871429443, 0.4835546314716339, 0.4806080162525177, 0.49411195516586304, 0.5041260719299316, 0.5074948668479919, 0.493670254945755, 0.49258923530578613]","[0.20197950303554535, 0.16373364627361298, 0.12864235043525696, 0.11475248634815216, 0.13546518981456757, 0.1278708130121231, 0.14617203176021576, 0.14253047108650208, 0.11247438192367554]","[0.20245352387428284, 0.16644056141376495, 0.14623770117759705, 0.1403050720691681, 0.1552678793668747, 0.16547158360481262, 0.16431792080402374, 0.15486940741539001, 0.15230058133602142]","[0.3176523745059967, 0.32687610387802124, 0.3367164731025696, 0.3387235105037689, 0.3396610915660858, 0.33834806084632874, 0.3420235812664032, 0.33986014127731323, 0.34223613142967224]","[0.33193129301071167, 0.3330696225166321, 0.33694860339164734, 0.340036541223526, 0.3387033939361572, 0.3384850323200226, 0.34314730763435364, 0.33884096145629883, 0.3401308059692383]",0.61882,0.55599,0.71731,0.6056,0.53992,0.70251,2309,216,0.61838,0.55827,0.72841,0.62427,0.56168,0.73289
auto,8,1,"[0.745, 0.75271, 0.7574, 0.76018, 0.75965, 0.75954, 0.75794, 0.758, 0.75881]","[0.62033, 0.62213, 0.62176, 0.62217, 0.62064, 0.62031, 0.61866, 0.61825, 0.61837]","[0.64435, 0.64493, 0.64216, 0.64114, 0.64026, 0.63982, 0.6388, 0.63924, 0.6391]","[0.7519, 0.75717, 0.76428, 0.76372, 0.7612, 0.76741, 0.75802, 0.75924, 0.76683]","[0.62155, 0.61792, 0.62357, 0.61846, 0.61703, 0.62316, 0.6112, 0.61796, 0.62091]","[0.65286, 0.64644, 0.64819, 0.64061, 0.64236, 0.64702, 0.63594, 0.65053, 0.64702]","[0.5369491577148438, 0.504470944404602, 0.4800025522708893, 0.4859026372432709, 0.46493086218833923, 0.48187747597694397, 0.49953871965408325, 0.5112355351448059, 0.46033039689064026]","[0.5508630871772766, 0.5131105780601501, 0.49233299493789673, 0.49687424302101135, 0.49998900294303894, 0.49916109442710876, 0.5066449642181396, 0.5247155427932739, 0.5040436387062073]","[0.2193116545677185, 0.17816896736621857, 0.14675578474998474, 0.14843283593654633, 0.1289002150297165, 0.14481012523174286, 0.15902213752269745, 0.17249147593975067, 0.11903881281614304]","[0.22013986110687256, 0.18012724816799164, 0.1562277227640152, 0.156959667801857, 0.16233433783054352, 0.16012753546237946, 0.16754712164402008, 0.18573985993862152, 0.16041193902492523]","[0.3175853192806244, 0.3264017105102539, 0.33316877484321594, 0.33752769231796265, 0.336189329624176, 0.3370774984359741, 0.3402267396450043, 0.33873501420021057, 0.3414214551448822]","[0.3308665454387665, 0.3328818380832672, 0.3358575701713562, 0.3397527039051056, 0.3374461531639099, 0.3388831317424774, 0.3387540876865387, 0.3389591872692108, 0.34347718954086304]",0.64435,0.62033,0.745,0.65286,0.62155,0.7519,2148,216,0.6391,0.61837,0.75881,0.64702,0.62091,0.76683
auto,8,1,"[0.76413, 0.77652, 0.78046, 0.77839, 0.77813, 0.77803, 0.77793, 0.77879, 0.77879]","[0.61366, 0.62101, 0.6245, 0.62173, 0.6215, 0.62129, 0.6214, 0.62172, 0.62172]","[0.62903, 0.6318, 0.63311, 0.63063, 0.63005, 0.63049, 0.63034, 0.63049, 0.63049]","[0.75196, 0.77003, 0.78583, 0.78429, 0.78909, 0.77813, 0.78665, 0.78983, 0.78264]","[0.59808, 0.61072, 0.62435, 0.61962, 0.62537, 0.6151, 0.62461, 0.62765, 0.6182]","[0.62427, 0.63244, 0.64411, 0.63711, 0.63711, 0.63827, 0.64294, 0.64236, 0.64061]","[0.5333139896392822, 0.5003063678741455, 0.48731017112731934, 0.47921881079673767, 0.4619746804237366, 0.48570507764816284, 0.4682331085205078, 0.4494530260562897, 0.49510636925697327]","[0.5509355664253235, 0.508335292339325, 0.4876559376716614, 0.5043021440505981, 0.4923454225063324, 0.5126333236694336, 0.4899733066558838, 0.489085853099823, 0.5260482430458069]","[0.2145802229642868, 0.1723308563232422, 0.15091468393802643, 0.13753116130828857, 0.12341504544019699, 0.1463562697172165, 0.13003303110599518, 0.10853786766529083, 0.152340829372406]","[0.21951957046985626, 0.17473341524600983, 0.14990952610969543, 0.16077221930027008, 0.15450449287891388, 0.17264756560325623, 0.15129579603672028, 0.15033948421478271, 0.18306221067905426]","[0.3187389075756073, 0.32805606722831726, 0.33635032176971436, 0.3419536352157593, 0.3386685848236084, 0.3393900692462921, 0.33838769793510437, 0.3411056697368622, 0.3425162732601166]","[0.3315141797065735, 0.33368274569511414, 0.33768564462661743, 0.3438258767127991, 0.33814433217048645, 0.33989521861076355, 0.33864736557006836, 0.33888426423072815, 0.3432088792324066]",0.62903,0.61366,0.76413,0.62427,0.59808,0.75196,1981,216,0.63049,0.62172,0.77879,0.64061,0.6182,0.78264
